FOV_row,FOV_col,count
0,0,7822
1,0,11045
2,0,11346
3,0,11999
4,0,11474
5,0,12382
6,0,11225
7,0,11991
8,0,12484
9,0,13088
10,0,14053
11,0,13063
12,0,12444
13,0,10879
14,0,10494
15,0,10866
16,0,11574
17,0,11707
18,0,12727
19,0,12364
20,0,12323
21,0,8875
22,0,13319
0,1,8036
1,1,11393
2,1,11093
3,1,11776
4,1,11446
5,1,12310
6,1,11130
7,1,12198
8,1,12912
9,1,13580
10,1,13817
11,1,12523
12,1,11809
13,1,10457
14,1,10241
15,1,10659
16,1,11084
17,1,11435
18,1,12402
19,1,11833
20,1,12222
21,1,8933
22,1,13433
0,2,6141
1,2,11247
2,2,10853
3,2,11327
4,2,11287
5,2,12051
6,2,11178
7,2,12618
8,2,12426
9,2,13695
10,2,13507
11,2,12308
12,2,11481
13,2,10297
14,2,10037
15,2,10258
16,2,10613
17,2,11498
18,2,11999
19,2,11851
20,2,12105
21,2,8949
22,2,13453
0,3,6397
1,3,10707
2,3,10784
3,3,11540
4,3,11076
5,3,11555
6,3,11038
7,3,12787
8,3,12609
9,3,13164
10,3,12900
11,3,11980
12,3,11136
13,3,9975
14,3,9738
15,3,9923
16,3,10367
17,3,10926
18,3,11934
19,3,11527
20,3,11533
21,3,8790
22,3,13477
0,4,9005
1,4,9941
2,4,10598
3,4,11464
4,4,11135
5,4,11421
6,4,11129
7,4,12690
8,4,13078
9,4,13003
10,4,12707
11,4,11815
12,4,10929
13,4,9749
14,4,9500
15,4,9631
16,4,10055
17,4,10785
18,4,11909
19,4,11380
20,4,11266
21,4,8846
22,4,13415
0,5,10319
1,5,9681
2,5,10557
3,5,11213
4,5,11245
5,5,11129
6,5,11123
7,5,12756
8,5,13227
9,5,12666
10,5,12626
11,5,12108
12,5,10808
13,5,9589
14,5,9320
15,5,9496
16,5,9888
17,5,10612
18,5,11733
19,5,11325
20,5,11190
21,5,8954
22,5,13317
0,6,10336
1,6,9799
2,6,10635
3,6,11036
4,6,11008
5,6,10976
6,6,11202
7,6,13050
8,6,12878
9,6,12352
10,6,12852
11,6,11923
12,6,10788
13,6,9539
14,6,9097
15,6,9156
16,6,9792
17,6,10442
18,6,11776
19,6,11126
20,6,11131
21,6,8853
22,6,13633
0,7,5849
1,7,9929
2,7,10560
3,7,10704
4,7,10703
5,7,10871
6,7,10825
7,7,12807
8,7,12719
9,7,12059
10,7,12570
11,7,11613
12,7,10619
13,7,9334
14,7,8808
15,7,9052
16,7,9553
17,7,10260
18,7,11550
19,7,10869
20,7,10897
21,7,8871
22,7,13502
0,8,5811
1,8,9997
2,8,10642
3,8,10469
4,8,10549
5,8,10780
6,8,11182
7,8,13705
8,8,12660
9,8,12105
10,8,12415
11,8,12085
12,8,10598
13,8,9276
14,8,8811
15,8,8767
16,8,9338
17,8,10038
18,8,11242
19,8,10794
20,8,10732
21,8,8976
22,8,13401
0,9,6047
1,9,9969
2,9,10599
3,9,10105
4,9,10256
5,9,10507
6,9,11200
7,9,13250
8,9,12742
9,9,11625
10,9,12345
11,9,11926
12,9,10472
13,9,9060
14,9,8461
15,9,8451
16,9,9207
17,9,9693
18,9,11022
19,9,10415
20,9,10927
21,9,9019
22,9,13251
0,10,5742
1,10,9750
2,10,10248
3,10,10001
4,10,10291
5,10,10484
6,10,11102
7,10,12965
8,10,12171
9,10,11480
10,10,12086
11,10,11630
12,10,10430
13,10,8835
14,10,8267
15,10,8311
16,10,9090
17,10,9505
18,10,10762
19,10,10121
20,10,11128
21,10,8953
22,10,13490
0,11,6799
1,11,9695
2,11,9978
3,11,10055
4,11,10429
5,11,10589
6,11,11119
7,11,12936
8,11,11701
9,11,11008
10,11,11880
11,11,11391
12,11,10023
13,11,8684
14,11,8025
15,11,8185
16,11,8792
17,11,9356
18,11,10669
19,11,10069
20,11,10968
21,11,8839
22,11,13503
0,12,8430
1,12,9622
2,12,9876
3,12,10103
4,12,10450
5,12,10573
6,12,11291
7,12,12624
8,12,11327
9,12,10838
10,12,11774
11,12,11268
12,12,9873
13,12,8590
14,12,8005
15,12,7994
16,12,8835
17,12,9517
18,12,10846
19,12,9907
20,12,10643
21,12,8874
22,12,13433
0,13,9201
1,13,9611
2,13,9806
3,13,10071
4,13,10281
5,13,10550
6,13,11339
7,13,12558
8,13,11306
9,13,10568
10,13,11296
11,13,10973
12,13,9566
13,13,8513
14,13,7966
15,13,7955
16,13,8796
17,13,9239
18,13,10643
19,13,9914
20,13,10764
21,13,8979
22,13,13589
0,14,9039
1,14,9611
2,14,9727
3,14,9913
4,14,10308
5,14,10584
6,14,10980
7,14,12533
8,14,10948
9,14,10278
10,14,11047
11,14,11087
12,14,9806
13,14,8409
14,14,7756
15,14,7869
16,14,8664
17,14,9206
18,14,10489
19,14,9843
20,14,10653
21,14,8976
22,14,13445
0,15,8917
1,15,9785
2,15,9700
3,15,10299
4,15,10298
5,15,10718
6,15,11147
7,15,12219
8,15,10904
9,15,10254
10,15,11138
11,15,10946
12,15,9244
13,15,8256
14,15,7751
15,15,7818
16,15,8499
17,15,9159
18,15,10376
19,15,9823
20,15,10664
21,15,9059
22,15,13532
0,16,9134
1,16,9929
2,16,10080
3,16,10718
4,16,10712
5,16,10566
6,16,11178
7,16,12939
8,16,11379
9,16,10731
10,16,12181
11,16,11492
12,16,9541
13,16,8257
14,16,7695
15,16,7773
16,16,8469
17,16,9052
18,16,10234
19,16,9694
20,16,10765
21,16,9113
22,16,13219
0,17,8787
1,17,10052
2,17,10408
3,17,11337
4,17,11641
5,17,10585
6,17,11149
7,17,12710
8,17,10950
9,17,10433
10,17,11989
11,17,11742
12,17,9571
13,17,8368
14,17,7698
15,17,7958
16,17,8378
17,17,9296
18,17,10255
19,17,9858
20,17,10708
21,17,8843
22,17,13429
0,18,9355
1,18,10056
2,18,10646
3,18,11556
4,18,11987
5,18,11004
6,18,11737
7,18,12715
8,18,11015
9,18,10241
10,18,11918
11,18,12156
12,18,9454
13,18,8423
14,18,7665
15,18,7987
16,18,8304
17,18,9330
18,18,10172
19,18,9995
20,18,10832
21,18,8980
22,18,13251
0,19,9564
1,19,10270
2,19,10764
3,19,11175
4,19,11862
5,19,11417
6,19,12029
7,19,11146
8,19,10280
9,19,9697
10,19,10664
11,19,10982
12,19,9069
13,19,8538
14,19,7960
15,19,8221
16,19,8297
17,19,9177
18,19,10225
19,19,10075
20,19,10892
21,19,9090
22,19,13339
0,20,9600
1,20,10288
2,20,11247
3,20,11968
4,20,12105
5,20,11626
6,20,11396
7,20,10665
8,20,9967
9,20,9737
10,20,10406
11,20,10447
12,20,9005
13,20,8800
14,20,7929
15,20,8141
16,20,8270
17,20,9078
18,20,10224
19,20,10119
20,20,11078
21,20,9236
22,20,12245
0,21,9876
1,21,10120
2,21,11637
3,21,12289
4,21,12563
5,21,11288
6,21,11338
7,21,10796
8,21,9646
9,21,9524
10,21,9758
11,21,10915
12,21,9141
13,21,8927
14,21,8211
15,21,8576
16,21,8475
17,21,9070
18,21,10276
19,21,10345
20,21,11101
21,21,9347
22,21,13444
0,22,9861
1,22,10074
2,22,10729
3,22,11563
4,22,12225
5,22,10636
6,22,10610
7,22,10068
8,22,9211
9,22,8813
10,22,8894
11,22,9998
12,22,8974
13,22,9442
14,22,8730
15,22,9222
16,22,8749
17,22,9108
18,22,9962
19,22,10350
20,22,11126
21,22,9511
22,22,13302
