FOV_row,FOV_col,count
22,22,8268
21,22,7505
20,22,6986
19,22,7344
18,22,6742
17,22,6477
16,22,7455
15,22,7575
14,22,7495
13,22,8177
12,22,7516
11,22,7109
10,22,6972
9,22,6494
8,22,6721
7,22,7254
6,22,6959
5,22,6442
4,22,7164
3,22,5927
2,22,7577
1,22,7720
0,22,4263
22,21,8100
21,21,7324
20,21,7092
19,21,6615
18,21,6343
17,21,6191
16,21,7537
15,21,7023
14,21,6827
13,21,7709
12,21,7233
11,21,6782
10,21,6736
9,21,5932
8,21,6181
7,21,7341
6,21,6804
5,21,6606
4,21,7168
3,21,5893
2,21,7645
1,21,8357
0,21,4722
22,20,7920
21,20,7260
20,20,7050
19,20,6412
18,20,5778
17,20,5822
16,20,6985
15,20,6579
14,20,6180
13,20,7124
12,20,6908
11,20,6501
10,20,6233
9,20,5827
8,20,6111
7,20,6614
6,20,6260
5,20,6302
4,20,6456
3,20,5611
2,20,7404
1,20,7927
0,20,4644
22,19,8316
21,19,7450
20,19,7084
19,19,6914
18,19,6048
17,19,5765
16,19,6867
15,19,6580
14,19,6109
13,19,7144
12,19,7056
11,19,6643
10,19,6279
9,19,6284
8,19,6245
7,19,6412
6,19,6574
5,19,6298
4,19,6424
3,19,5585
2,19,7125
1,19,7728
0,19,4865
22,18,8159
21,18,7513
20,18,7173
19,18,6724
18,18,5910
17,18,5724
16,18,6494
15,18,5996
14,18,5760
13,18,6711
12,18,6970
11,18,6208
10,18,5988
9,18,5639
8,18,5844
7,18,6003
6,18,6097
5,18,6204
4,18,6285
3,18,5744
2,18,7207
1,18,7639
0,18,5053
22,17,8006
21,17,7508
20,17,7459
19,17,6628
18,17,5950
17,17,5680
16,17,6346
15,17,6035
14,17,5678
13,17,6585
12,17,6563
11,17,5848
10,17,5721
9,17,5569
8,17,5945
7,17,6073
6,17,5881
5,17,6141
4,17,6000
3,17,5593
2,17,7074
1,17,7655
0,17,5089
22,16,8109
21,16,7720
20,16,7597
19,16,6702
18,16,6194
17,16,5737
16,16,6256
15,16,6229
14,16,5956
13,16,6858
12,16,7089
11,16,5892
10,16,5928
9,16,5808
8,16,6135
7,16,6660
6,16,5783
5,16,6071
4,16,6334
3,16,5692
2,16,6858
1,16,7940
0,16,5038
22,15,8227
21,15,7489
20,15,7315
19,15,6367
18,15,6293
17,15,5869
16,15,6219
15,15,6096
14,15,5855
13,15,6446
12,15,6829
11,15,5827
10,15,5774
9,15,5560
