FOV_row,FOV_col,count
23,23,14451
22,23,13609
21,23,12462
20,23,11752
19,23,11983
18,23,12071
17,23,12237
16,23,12238
15,23,12447
14,23,12036
13,23,12125
12,23,11562
11,23,11141
10,23,10645
9,23,11205
8,23,12095
7,23,12819
6,23,12580
5,23,13055
4,23,13045
3,23,13198
2,23,13785
1,23,14245
0,23,11742
23,22,14358
22,22,13652
21,22,12564
20,22,11826
19,22,12004
18,22,11966
17,22,12364
16,22,12290
15,22,12556
14,22,12005
13,22,11968
12,22,11724
11,22,11007
10,22,10666
9,22,11161
8,22,11967
7,22,12636
6,22,12715
5,22,12952
4,22,12958
3,22,13196
2,22,13703
1,22,14169
0,22,11450
23,21,14446
22,21,13670
21,21,12472
20,21,11862
19,21,12102
18,21,12118
17,21,12587
16,21,12277
15,21,12601
14,21,12052
13,21,12313
12,21,11812
11,21,11254
10,21,10923
9,21,11065
8,21,11942
7,21,12897
6,21,12530
5,21,13079
4,21,12818
3,21,13117
2,21,13523
1,21,14126
0,21,11716
23,20,14307
22,20,13569
21,20,12199
20,20,11797
19,20,12089
18,20,12161
17,20,12674
16,20,12366
15,20,12560
14,20,12237
13,20,12224
12,20,11846
11,20,11425
10,20,11139
9,20,11249
8,20,11808
7,20,12772
6,20,12744
5,20,12969
4,20,12874
3,20,13015
2,20,13557
1,20,13964
0,20,10566
23,19,14137
22,19,13599
21,19,12627
20,19,12192
19,19,12311
18,19,12392
17,19,12688
16,19,12270
15,19,12770
14,19,12378
13,19,12186
12,19,11830
11,19,11601
10,19,11372
9,19,11267
8,19,11959
7,19,12868
6,19,12887
5,19,13054
4,19,12822
3,19,13120
2,19,13572
1,19,13847
0,19,11620
23,18,13922
22,18,13671
21,18,12438
20,18,11946
19,18,12188
18,18,12211
17,18,12518
16,18,12036
15,18,12758
14,18,12191
13,18,12137
12,18,11764
11,18,11630
10,18,11318
9,18,11313
8,18,11714
7,18,12557
6,18,12971
5,18,13128
4,18,12862
3,18,13107
2,18,13675
1,18,13947
0,18,13045
23,17,13783
22,17,13349
21,17,12421
20,17,11803
19,17,11982
18,17,12129
17,17,12359
16,17,12086
15,17,12730
14,17,11874
13,17,12047
12,17,11653
11,17,11567
10,17,11433
9,17,11117
8,17,11300
7,17,12394
6,17,12906
5,17,12976
4,17,12603
3,17,13021
2,17,13447
1,17,13647
0,17,13036
23,16,13851
22,16,13339
21,16,12429
20,16,11832
19,16,12000
18,16,12046
17,16,12223
16,16,11955
15,16,12745
14,16,11705
13,16,12070
12,16,11551
11,16,11471
10,16,11382
9,16,11205
8,16,11270
7,16,12079
6,16,12837
5,16,12698
4,16,12671
3,16,13068
2,16,13354
1,16,13612
0,16,13152
23,15,13547
22,15,13105
21,15,12415
20,15,11906
19,15,12036
18,15,11902
17,15,12151
16,15,12004
15,15,12788
14,15,11722
13,15,12080
12,15,11583
11,15,11564
10,15,11278
9,15,11131
8,15,11235
7,15,12028
6,15,13055
5,15,13010
4,15,12800
3,15,13052
2,15,13449
1,15,13903
0,15,13499
23,14,13596
22,14,13211
21,14,12573
20,14,12012
19,14,11839
18,14,11871
17,14,12282
16,14,12014
15,14,12847
14,14,11447
13,14,11752
12,14,11431
11,14,11413
10,14,11449
9,14,11170
8,14,11078
7,14,11979
6,14,12861
5,14,12820
4,14,12773
