FOV_row,FOV_col,count
23,23,13735
22,23,13711
21,23,13878
20,23,13922
19,23,13972
18,23,13401
17,23,13221
16,23,12806
15,23,12647
14,23,12935
13,23,13921
12,23,12949
11,23,11179
10,23,12703
9,23,12832
8,23,12666
7,23,12835
6,23,13118
5,23,13317
4,23,13276
3,23,13547
2,23,13949
1,23,15114
0,23,15026
23,22,13632
22,22,13888
21,22,13715
20,22,13674
19,22,13829
18,22,13352
17,22,13171
16,22,12934
15,22,12959
14,22,13131
13,22,13679
12,22,12561
11,22,11241
10,22,12594
9,22,13058
8,22,12862
7,22,12972
6,22,13196
5,22,13369
4,22,13407
3,22,13741
2,22,13855
1,22,14876
0,22,14705
23,21,13694
22,21,13850
21,21,13853
20,21,13687
19,21,13839
18,21,13270
17,21,13255
16,21,13041
15,21,12999
14,21,13457
13,21,13599
12,21,13268
11,21,11163
10,21,12274
9,21,13003
8,21,12922
7,21,13047
6,21,13030
5,21,13243
4,21,13368
3,21,13645
2,21,13411
1,21,13690
0,21,13964
23,20,13636
22,20,13789
21,20,13899
20,20,13826
19,20,13681
18,20,13319
17,20,13067
16,20,12882
15,20,12815
14,20,13448
13,20,13293
12,20,12468
11,20,11427
10,20,12301
9,20,13066
8,20,12728
7,20,12965
6,20,13086
5,20,13180
4,20,13311
3,20,13662
2,20,13645
1,20,13573
0,20,13917
23,19,13572
22,19,13583
21,19,13723
20,19,13460
19,19,13437
18,19,13298
17,19,12874
16,19,12832
15,19,13121
14,19,13040
13,19,12754
12,19,12636
11,19,11495
10,19,12394
9,19,12829
8,19,12617
7,19,12828
6,19,12981
5,19,13051
4,19,13265
3,19,13512
2,19,13641
1,19,13569
0,19,13900
23,18,13508
22,18,13640
21,18,13705
20,18,13569
19,18,13466
18,18,13226
17,18,12954
16,18,12738
15,18,12954
14,18,12844
13,18,12922
12,18,12494
11,18,11456
10,18,12538
9,18,12767
8,18,12581
7,18,12722
6,18,13070
5,18,13230
4,18,13360
3,18,13634
2,18,13605
1,18,13735
0,18,13904
23,17,13778
22,17,13503
21,17,13513
20,17,13381
19,17,13509
18,17,13022
17,17,13068
16,17,12874
15,17,12857
14,17,12759
13,17,13112
12,17,12668
11,17,11364
10,17,12614
9,17,13146
8,17,12786
7,17,12282
6,17,12947
5,17,13256
4,17,13438
3,17,13655
2,17,13423
1,17,13854
0,17,13951
23,16,13857
22,16,13504
21,16,13520
20,16,13463
19,16,13379
18,16,13054
17,16,13018
16,16,12880
15,16,13018
14,16,12989
13,16,13131
12,16,12985
11,16,11566
10,16,12713
9,16,13098
8,16,13181
7,16,13308
6,16,13552
5,16,13500
4,16,13792
3,16,13855
2,16,13613
1,16,14407
0,16,14405
23,15,13673
22,15,13486
21,15,13772
20,15,13632
19,15,13467
18,15,13063
17,15,12897
16,15,12951
15,15,13094
14,15,13329
13,15,13063
12,15,12982
11,15,12337
10,15,13609
9,15,14209
8,15,13888
7,15,14029
6,15,14010
5,15,14662
4,15,14439
3,15,13879
2,15,13757
1,15,14465
0,15,14573
23,14,13553
22,14,13384
21,14,13654
20,14,13457
19,14,13572
18,14,13306
17,14,13232
16,14,13300
15,14,13083
14,14,13626
13,14,13750
12,14,13430
11,14,12557
10,14,13557
9,14,14680
8,14,14187
7,14,14440
6,14,13888
5,14,14531
4,14,14449
3,14,13854
2,14,13708
1,14,14349
0,14,14389
23,13,14315
22,13,13744
21,13,13924
20,13,13754
19,13,13655
18,13,13360
17,13,13233
16,13,13138
15,13,13157
14,13,13561
13,13,14409
12,13,13861
11,13,12915
10,13,13707
9,13,14517
8,13,14236
7,13,14129
6,13,13852
5,13,14554
4,13,14293
3,13,13661
2,13,14009
1,13,14587
0,13,14170
23,12,14384
22,12,13565
21,12,13939
20,12,13571
19,12,13254
18,12,13032
17,12,12705
16,12,12623
15,12,12865
14,12,12798
13,12,14219
12,12,13414
11,12,12506
10,12,13645
9,12,14110
8,12,14134
7,12,13922
6,12,13112
5,12,13971
4,12,13945
3,12,13571
2,12,13700
1,12,14322
0,12,14115
23,11,14447
22,11,13555
21,11,14005
20,11,13578
19,11,12933
18,11,12879
17,11,12773
16,11,12553
15,11,12888
14,11,12728
13,11,14352
12,11,13495
11,11,13170
10,11,13816
9,11,14330
8,11,13703
7,11,13751
6,11,13343
5,11,14015
4,11,13688
3,11,13248
2,11,13496
1,11,14131
0,11,13870
23,10,14306
22,10,13838
21,10,14118
20,10,13499
19,10,13152
18,10,12892
17,10,12813
16,10,12677
15,10,13102
14,10,12824
13,10,14487
12,10,13787
11,10,13053
10,10,13740
9,10,14230
8,10,13693
7,10,13502
6,10,13243
5,10,14014
4,10,13512
3,10,13731
2,10,13695
1,10,14436
0,10,14052
23,9,14186
22,9,13893
21,9,14124
20,9,13118
19,9,13104
18,9,12524
17,9,12716
16,9,12976
15,9,12812
14,9,12631
13,9,14197
12,9,13693
11,9,12865
10,9,13576
9,9,13843
8,9,13482
7,9,13316
6,9,13086
5,9,13993
4,9,13959
3,9,13580
2,9,13555
1,9,14154
0,9,13888
23,8,14271
22,8,13769
21,8,13761
20,8,12696
19,8,12757
18,8,12412
17,8,12547
16,8,12687
15,8,12677
14,8,12640
13,8,14007
12,8,13580
11,8,12803
10,8,13225
9,8,13710
8,8,13303
7,8,13359
6,8,13179
5,8,14015
4,8,13677
3,8,13398
2,8,13520
1,8,14130
0,8,13624
23,7,14061
22,7,13560
21,7,13683
20,7,12820
19,7,12605
18,7,12506
17,7,12564
16,7,12404
15,7,12612
14,7,12425
13,7,13757
12,7,13330
11,7,12634
10,7,12969
9,7,13389
8,7,13214
7,7,13310
6,7,13015
5,7,13870
4,7,13650
3,7,13342
2,7,13326
1,7,14010
0,7,13794
23,6,14306
22,6,13520
21,6,13819
20,6,12642
19,6,12763
18,6,12514
17,6,12643
16,6,12673
15,6,12451
14,6,12871
13,6,13841
12,6,13358
11,6,12573
10,6,13015
9,6,13320
8,6,13116
7,6,13198
6,6,13049
5,6,13809
4,6,13528
3,6,13176
2,6,13302
1,6,13925
0,6,13879
23,5,14417
22,5,13569
21,5,13558
20,5,12569
19,5,12519
18,5,12326
17,5,12755
16,5,13688
15,5,13552
