FOV_row,FOV_col,count
23,23,10000
22,23,10143
21,23,9891
20,23,9921
19,23,10099
18,23,10147
17,23,10157
16,23,10025
15,23,10113
14,23,9014
13,23,9956
12,23,8367
11,23,8145
10,23,9321
9,23,9544
8,23,10868
7,23,10473
6,23,10676
5,23,10804
4,23,10808
3,23,10564
2,23,10773
1,23,10549
0,23,10891
23,22,10059
22,22,10082
21,22,9903
20,22,10022
19,22,10059
18,22,10037
17,22,10025
16,22,10072
15,22,9852
14,22,9036
13,22,9885
12,22,8177
11,22,8310
10,22,9070
9,22,9147
8,22,10712
7,22,10583
6,22,10655
5,22,10651
4,22,10528
3,22,10290
2,22,10664
1,22,10439
0,22,10668
23,21,10198
22,21,10061
21,21,9955
20,21,10040
19,21,10202
18,21,10147
17,21,10318
16,21,10357
15,21,10114
14,21,9476
13,21,10166
12,21,8687
11,21,8471
10,21,9585
9,21,9263
8,21,10771
7,21,10747
6,21,10828
5,21,10859
4,21,11010
3,21,10708
2,21,11062
1,21,10679
0,21,10934
23,20,10339
22,20,10201
21,20,10212
20,20,10188
19,20,10335
18,20,10364
17,20,10239
16,20,10494
15,20,10400
14,20,9188
13,20,10183
12,20,8516
11,20,8411
10,20,9649
9,20,9275
8,20,10819
7,20,10720
6,20,10979
5,20,11043
4,20,11125
3,20,10782
2,20,11013
1,20,10623
0,20,10905
23,19,10189
22,19,10119
21,19,10117
20,19,10010
19,19,10146
18,19,10076
17,19,9974
16,19,10186
15,19,9904
14,19,8136
13,19,9993
12,19,8483
11,19,8251
10,19,9300
9,19,8898
8,19,10369
7,19,10411
6,19,10592
5,19,10715
4,19,10596
3,19,10430
2,19,10638
1,19,10420
0,19,10600
23,18,10181
22,18,10184
21,18,10244
20,18,10106
19,18,10198
18,18,10088
17,18,9921
16,18,10240
15,18,9892
14,18,8397
13,18,9895
12,18,8456
11,18,8234
10,18,9516
9,18,8979
8,18,10461
7,18,10464
6,18,10846
5,18,10837
4,18,10678
3,18,10530
2,18,10795
1,18,10504
0,18,10769
23,17,10100
22,17,10281
21,17,10343
20,17,9905
19,17,10117
18,17,10029
17,17,9823
16,17,9974
15,17,9680
14,17,8619
13,17,9712
12,17,8795
11,17,8359
10,17,9422
9,17,8943
8,17,10207
7,17,10316
6,17,10539
5,17,10608
4,17,10583
3,17,10500
2,17,10564
1,17,10457
0,17,10445
23,16,10096
22,16,10328
21,16,10318
20,16,9884
19,16,10195
18,16,10026
17,16,9677
16,16,10037
15,16,9610
14,16,8359
13,16,9632
12,16,8749
11,16,8279
10,16,9367
9,16,9080
8,16,10157
7,16,10265
6,16,10409
5,16,10402
4,16,10514
3,16,10374
2,16,10530
1,16,10490
0,16,10547
23,15,10199
22,15,10334
21,15,10307
20,15,9762
19,15,10147
18,15,10007
17,15,9706
16,15,9974
15,15,9492
14,15,8445
13,15,9636
12,15,8663
11,15,8419
10,15,9359
9,15,9046
8,15,10032
7,15,10239
6,15,10407
5,15,10436
4,15,10313
3,15,10342
2,15,10397
1,15,10433
0,15,10394
23,14,10195
22,14,10431
21,14,10272
20,14,9617
19,14,10084
18,14,9881
17,14,9671
16,14,9860
15,14,9459
14,14,8469
13,14,9507
12,14,8394
11,14,8241
10,14,9376
9,14,8986
8,14,9841
7,14,10143
6,14,10486
5,14,10268
4,14,10319
3,14,10356
2,14,10187
1,14,10466
0,14,10376
23,13,10168
22,13,10323
21,13,9982
20,13,9547
19,13,10181
18,13,9837
17,13,9550
16,13,9771
15,13,9403
14,13,8693
13,13,9198
12,13,8129
11,13,7902
10,13,9186
9,13,9067
8,13,9713
7,13,10063
6,13,10165
5,13,10060
4,13,10095
3,13,10236
2,13,10059
1,13,10454
0,13,10099
23,12,10312
22,12,10413
21,12,10371
20,12,9628
19,12,10258
18,12,9726
17,12,9532
16,12,9663
15,12,9224
14,12,9066
13,12,8965
12,12,8370
11,12,8461
10,12,9237
9,12,8859
8,12,9617
7,12,9912
6,12,10014
5,12,9873
4,12,10019
3,12,10232
2,12,9741
1,12,10088
0,12,10232
23,11,10339
22,11,10290
21,11,10210
20,11,9711
19,11,10121
18,11,9837
17,11,9445
16,11,9632
15,11,9319
14,11,8994
13,11,8922
12,11,8740
11,11,8506
10,11,9377
9,11,8985
8,11,9587
7,11,9871
6,11,10089
5,11,10020
4,11,10097
3,11,10203
2,11,9766
1,11,9848
0,11,10336
23,10,10374
22,10,10327
21,10,10303
20,10,9870
19,10,9972
18,10,9788
17,10,9589
16,10,9675
15,10,9426
14,10,8312
13,10,8964
12,10,9204
11,10,8757
10,10,9518
9,10,9026
8,10,9497
7,10,10027
6,10,9985
5,10,10119
4,10,10075
3,10,10433
2,10,9843
1,10,10015
0,10,10341
23,9,10365
22,9,10512
21,9,10356
20,9,9889
19,9,10065
18,9,9831
17,9,9577
16,9,9781
15,9,9428
14,9,8481
13,9,9059
12,9,9216
11,9,8900
10,9,9556
9,9,9132
8,9,9586
7,9,10010
6,9,10034
5,9,9919
4,9,10192
3,9,10362
2,9,10001
1,9,9814
0,9,10309
23,8,10521
22,8,10378
21,8,10401
20,8,10101
19,8,10032
18,8,9763
17,8,9642
16,8,9779
15,8,9283
14,8,8496
13,8,9022
12,8,9095
11,8,8924
10,8,9583
9,8,9253
8,8,9590
7,8,9972
6,8,9954
5,8,10051
4,8,10222
3,8,10289
2,8,9978
1,8,9635
0,8,10167
23,7,10385
22,7,10385
21,7,10350
20,7,9976
19,7,10072
18,7,9838
17,7,9532
16,7,9819
15,7,8844
14,7,8190
13,7,9124
12,7,9090
11,7,8923
10,7,9689
9,7,9241
8,7,9664
7,7,9865
6,7,9980
5,7,9936
4,7,10226
3,7,10459
2,7,10012
1,7,9548
0,7,10118
23,6,10605
22,6,10394
21,6,10465
20,6,10289
19,6,10322
18,6,9837
17,6,9557
16,6,9778
15,6,9570
14,6,8431
13,6,9162
12,6,8996
11,6,9100
10,6,9592
9,6,9308
8,6,9731
7,6,9964
6,6,10024
5,6,10063
4,6,10296
3,6,10519
2,6,10066
1,6,9821
0,6,10236
23,5,10558
22,5,10518
21,5,10478
20,5,10403
19,5,10157
18,5,9786
17,5,9625
16,5,9773
15,5,9638
14,5,8430
13,5,9383
12,5,8982
11,5,9231
10,5,9666
9,5,9500
8,5,9821
7,5,9966
6,5,9922
5,5,10151
4,5,10518
3,5,10662
2,5,10105
1,5,9855
0,5,10275
23,4,10578
22,4,10598
21,4,10547
20,4,10531
19,4,9946
18,4,10000
17,4,9795
16,4,9819
15,4,9921
14,4,9119
13,4,9460
12,4,9185
11,4,9239
10,4,9813
9,4,9482
8,4,9914
7,4,9983
6,4,10083
5,4,10350
4,4,10557
3,4,10629
2,4,10475
1,4,9814
0,4,9932
23,3,10686
22,3,10674
21,3,10534
20,3,10494
19,3,10130
18,3,10134
17,3,9823
16,3,9852
15,3,9629
14,3,9545
13,3,9362
12,3,9131
11,3,9346
10,3,9883
9,3,9766
8,3,9889
7,3,10025
6,3,10053
5,3,10493
4,3,10642
3,3,10788
2,3,10340
1,3,9995
0,3,10540
23,2,10676
22,2,10569
21,2,10610
20,2,10604
19,2,10274
18,2,10051
17,2,9779
16,2,9645
15,2,9728
14,2,9522
13,2,9282
12,2,8934
11,2,9531
10,2,9748
9,2,9753
8,2,9682
7,2,9901
6,2,10092
5,2,10355
4,2,10560
3,2,10771
2,2,10183
1,2,10054
0,2,10423
23,1,10726
22,1,10618
21,1,10421
20,1,10469
19,1,10235
18,1,10147
17,1,9872
16,1,9768
15,1,9420
14,1,9369
13,1,9549
12,1,8869
11,1,9391
10,1,9783
9,1,9516
8,1,9798
7,1,9777
6,1,9871
5,1,10095
4,1,10325
3,1,10596
2,1,9951
1,1,9830
0,1,10268
23,0,10528
22,0,10428
21,0,10379
20,0,10247
19,0,10061
18,0,10033
17,0,9375
16,0,9494
15,0,9448
14,0,9182
13,0,9684
12,0,9011
11,0,9482
10,0,9568
9,0,9328
8,0,9585
7,0,9451
6,0,9644
5,0,9922
4,0,10190
3,0,10529
2,0,9998
1,0,9822
0,0,10188
