FOV_row,FOV_col,count
23,23,7356
22,23,6476
21,23,6637
20,23,7030
19,23,6537
18,23,7004
17,23,6761
16,23,7080
15,23,4528
14,23,3264
13,23,3307
12,23,4198
11,23,5154
10,23,5119
9,23,5633
8,23,6151
7,23,6613
6,23,7021
5,23,7217
4,23,6338
3,23,6704
2,23,7652
1,23,8372
0,23,8820
23,22,7215
22,22,6655
21,22,6911
20,22,6959
19,22,6945
18,22,7164
17,22,7143
16,22,7361
15,22,4327
14,22,4117
13,22,4010
12,22,4479
11,22,5378
10,22,5274
9,22,5902
8,22,6396
7,22,7060
6,22,7144
5,22,7443
4,22,6670
3,22,6844
2,22,7406
1,22,8000
0,22,8914
23,21,7247
22,21,6769
21,21,6635
20,21,6977
19,21,7026
18,21,7218
17,21,7488
16,21,7177
15,21,4360
14,21,3818
13,21,4502
12,21,4968
11,21,6066
10,21,5592
9,21,6238
8,21,6637
7,21,7278
6,21,7399
5,21,7660
4,21,7003
3,21,6942
2,21,7644
1,21,7853
0,21,8513
23,20,7541
22,20,6959
21,20,6688
20,20,6327
19,20,6970
18,20,7442
17,20,7327
16,20,7179
15,20,4875
14,20,4449
13,20,4768
12,20,5439
11,20,6194
10,20,5842
9,20,6408
8,20,6958
7,20,7377
6,20,7605
5,20,7582
4,20,7081
3,20,7094
2,20,7674
1,20,8049
0,20,8660
23,19,7339
22,19,6986
21,19,6720
20,19,6272
19,19,6925
18,19,7148
17,19,7214
16,19,6898
15,19,5320
14,19,4497
13,19,5060
12,19,4996
11,19,6259
10,19,6040
9,19,6312
8,19,6824
7,19,7415
6,19,7439
5,19,7627
4,19,7049
3,19,7126
2,19,7761
1,19,7909
0,19,8570
23,18,7901
22,18,7555
21,18,6926
20,18,6829
19,18,6858
18,18,6921
17,18,7070
16,18,7027
15,18,5724
14,18,4867
13,18,5206
12,18,5930
11,18,6480
10,18,6218
9,18,6410
8,18,6992
7,18,7527
6,18,7590
5,18,7643
4,18,7252
3,18,7288
2,18,7849
1,18,8114
0,18,8373
23,17,8111
22,17,7503
21,17,6864
20,17,6607
19,17,6862
18,17,7161
17,17,6989
16,17,6926
15,17,5736
14,17,5033
13,17,5318
12,17,6213
11,17,6306
10,17,6292
9,17,6446
8,17,7070
7,17,7578
6,17,7710
5,17,7709
4,17,7364
3,17,7280
2,17,7842
1,17,8080
0,17,8420
23,16,8158
22,16,7434
21,16,6690
20,16,6455
19,16,6849
18,16,6974
17,16,6932
16,16,6873
15,16,5855
14,16,5345
13,16,5304
12,16,5831
11,16,6455
10,16,6285
9,16,6630
8,16,7183
7,16,7685
6,16,7896
5,16,7869
4,16,7596
3,16,7325
2,16,7885
1,16,8114
0,16,8436
23,15,7902
22,15,7383
21,15,6769
20,15,6500
19,15,6803
18,15,7245
17,15,7040
16,15,7053
15,15,6423
14,15,5867
13,15,5691
12,15,6224
11,15,6933
10,15,6447
