FOV_row,FOV_col,count
23,23,14497
22,23,14817
21,23,14645
20,23,14594
19,23,14751
18,23,14584
17,23,14396
16,23,13930
15,23,12366
14,23,13424
13,23,12447
12,23,13862
11,23,14318
10,23,14480
9,23,14075
8,23,14229
7,23,14344
6,23,14204
5,23,14087
4,23,13511
3,23,12836
2,23,12573
1,23,12909
0,23,12117
23,22,14414
22,22,14859
21,22,14687
20,22,14793
19,22,14602
18,22,14816
17,22,14297
16,22,14080
15,22,12020
14,22,13711
13,22,12475
12,22,13625
11,22,14271
10,22,14441
9,22,13939
8,22,14398
7,22,14481
6,22,14143
5,22,14020
4,22,13593
3,22,12902
2,22,12600
1,22,12662
0,22,12139
23,21,14183
22,21,14765
21,21,14614
20,21,14780
19,21,14571
18,21,14691
17,21,14407
16,21,14058
15,21,12456
14,21,13769
13,21,12711
12,21,13663
11,21,14242
10,21,14175
9,21,14019
8,21,14209
7,21,14364
6,21,14200
5,21,14020
4,21,13589
3,21,12817
2,21,12551
1,21,12522
0,21,11975
23,20,14471
22,20,14672
21,20,14517
20,20,14697
19,20,14728
18,20,14760
17,20,14557
16,20,14132
15,20,12197
14,20,13651
13,20,13000
12,20,13746
11,20,14234
10,20,13837
9,20,14079
8,20,14389
7,20,14109
6,20,14101
5,20,13847
4,20,13524
3,20,12887
2,20,12660
1,20,12587
0,20,11838
23,19,14196
22,19,14782
21,19,14624
20,19,14709
19,19,14745
18,19,14815
17,19,14736
16,19,14068
15,19,12526
14,19,13586
13,19,12930
12,19,13548
11,19,14040
10,19,13799
9,19,14188
8,19,14306
7,19,14116
6,19,13772
5,19,13577
4,19,13497
3,19,12623
2,19,12534
1,19,12504
0,19,11902
23,18,14081
22,18,14602
21,18,14593
20,18,14728
19,18,14651
18,18,14833
17,18,14684
16,18,14062
15,18,12352
14,18,13440
13,18,12651
12,18,13275
11,18,13821
10,18,14050
9,18,14269
8,18,14146
7,18,14017
6,18,13988
5,18,13479
4,18,13315
3,18,12847
2,18,12530
1,18,12461
0,18,11782
23,17,13903
22,17,14319
21,17,14478
20,17,14593
19,17,14555
18,17,14645
17,17,14645
16,17,14042
15,17,12625
14,17,13259
13,17,12595
12,17,13259
11,17,13502
10,17,13963
9,17,14087
8,17,14110
7,17,14003
6,17,13810
5,17,13468
4,17,13184
3,17,12789
2,17,12570
1,17,12551
0,17,11740
23,16,13964
22,16,14339
21,16,14406
20,16,14685
19,16,14594
18,16,14749
17,16,14753
16,16,14055
15,16,12466
14,16,13461
13,16,12411
12,16,12934
11,16,13381
10,16,14148
9,16,13897
8,16,13833
7,16,13969
6,16,13800
5,16,13420
4,16,13062
3,16,12808
2,16,12547
1,16,12537
0,16,11564
23,15,13681
22,15,14184
21,15,14287
20,15,14412
19,15,14399
18,15,14667
17,15,14583
16,15,13915
15,15,12552
14,15,13424
13,15,12230
12,15,12696
11,15,13141
10,15,14193
9,15,13832
8,15,14026
7,15,13867
6,15,13619
5,15,13323
4,15,12964
3,15,12684
2,15,12538
1,15,12605
0,15,11551
23,14,13723
22,14,14074
21,14,14279
20,14,14405
19,14,14431
18,14,14508
17,14,14474
16,14,13823
15,14,12217
14,14,13239
13,14,12274
12,14,12804
11,14,13508
10,14,14033
9,14,14079
8,14,13983
7,14,13866
6,14,13714
5,14,13443
4,14,12926
3,14,12759
2,14,12630
1,14,12539
0,14,11397
23,13,13574
22,13,13680
21,13,13966
20,13,14250
19,13,14173
18,13,14194
17,13,14168
16,13,13553
15,13,12309
14,13,12925
13,13,12198
12,13,12607
11,13,13479
10,13,13853
9,13,13618
8,13,13798
7,13,13595
6,13,13440
5,13,13066
4,13,12800
3,13,12638
2,13,12651
1,13,12534
0,13,11579
23,12,13471
22,12,13550
21,12,14010
20,12,14202
19,12,14177
18,12,14011
17,12,13987
16,12,13576
15,12,11957
14,12,12790
13,12,12372
12,12,12632
11,12,13318
10,12,13498
9,12,13499
8,12,13714
7,12,13437
6,12,13206
5,12,12991
4,12,12852
3,12,12560
2,12,12600
1,12,12617
0,12,11421
23,11,13500
22,11,13433
21,11,13792
20,11,13846
19,11,13949
18,11,13851
17,11,13742
16,11,13420
15,11,12069
14,11,12750
13,11,12204
12,11,12579
11,11,13599
10,11,13514
9,11,13326
8,11,13546
7,11,13373
6,11,13082
5,11,12849
4,11,12726
3,11,12640
2,11,12711
1,11,12614
0,11,11441
23,10,13273
22,10,13303
21,10,13412
20,10,13565
19,10,13672
18,10,13372
17,10,13398
16,10,13130
15,10,11793
14,10,12561
13,10,12044
12,10,12477
11,10,13383
10,10,13398
9,10,13082
8,10,13359
7,10,13095
6,10,13062
5,10,12736
4,10,12609
3,10,12639
2,10,12706
1,10,12603
0,10,11263
23,9,13408
22,9,13250
21,9,13386
20,9,13414
19,9,13517
18,9,13152
17,9,13227
16,9,12923
15,9,11862
14,9,12477
13,9,11978
12,9,12410
11,9,12952
10,9,13219
9,9,12568
8,9,13221
7,9,12790
6,9,12889
5,9,12736
4,9,12638
3,9,12564
2,9,12588
1,9,12620
0,9,11548
23,8,13318
22,8,13247
21,8,13287
20,8,13304
19,8,13586
18,8,13017
17,8,12974
16,8,12909
15,8,11873
14,8,12387
13,8,12196
12,8,12489
11,8,13038
10,8,13302
9,8,12878
8,8,13047
7,8,12893
6,8,12905
5,8,12748
4,8,12462
3,8,12691
2,8,12720
1,8,12817
0,8,11479
23,7,13402
22,7,13270
21,7,13198
20,7,13319
19,7,13487
18,7,12984
17,7,13004
16,7,12835
15,7,11995
14,7,12375
13,7,12237
12,7,12390
11,7,13026
10,7,13093
9,7,12666
8,7,12983
7,7,12761
6,7,12785
5,7,12640
4,7,12550
3,7,12578
2,7,12751
1,7,12765
0,7,11649
23,6,13220
22,6,13337
21,6,13119
20,6,13235
19,6,13336
18,6,12948
17,6,12829
16,6,12791
15,6,12103
14,6,12389
13,6,12233
12,6,12476
11,6,12920
10,6,13142
9,6,12596
8,6,12935
7,6,12552
6,6,12765
5,6,12601
4,6,12558
3,6,12585
2,6,12733
1,6,12655
0,6,11554
23,5,13212
22,5,13142
21,5,13191
20,5,13097
19,5,13175
18,5,12869
17,5,12702
16,5,12711
15,5,12169
14,5,12374
13,5,12303
12,5,12507
11,5,12806
10,5,12852
9,5,12473
8,5,12888
7,5,12561
6,5,12687
5,5,12643
4,5,12597
3,5,12680
2,5,12645
1,5,12814
0,5,11656
23,4,13247
22,4,13339
21,4,13122
20,4,13199
19,4,13267
18,4,13044
17,4,13033
16,4,12810
15,4,12150
14,4,12353
13,4,12523
12,4,12697
11,4,12952
10,4,12875
9,4,12594
8,4,12928
7,4,12610
6,4,12937
5,4,12669
4,4,12587
3,4,12607
2,4,12837
1,4,12786
0,4,11517
23,3,13043
22,3,13428
21,3,13086
20,3,13218
19,3,13142
18,3,12743
17,3,12808
16,3,12861
15,3,12143
14,3,12470
13,3,12450
12,3,12457
11,3,12648
10,3,12917
9,3,12310
8,3,12825
7,3,12633
6,3,13018
5,3,12671
4,3,12578
3,3,12428
2,3,12716
1,3,12729
0,3,11395
23,2,13040
22,2,13236
21,2,12990
20,2,13019
19,2,12775
18,2,12688
17,2,12721
16,2,12627
15,2,12100
14,2,12178
13,2,12042
12,2,12332
11,2,12791
10,2,12640
9,2,12374
8,2,12519
7,2,12656
6,2,12591
5,2,12685
4,2,12540
3,2,12540
2,2,12618
1,2,12881
0,2,11428
23,1,13154
22,1,13458
21,1,12905
20,1,12913
19,1,12638
18,1,12470
17,1,12493
16,1,12458
15,1,12023
14,1,12456
13,1,12034
12,1,12021
11,1,12616
10,1,12378
9,1,12275
8,1,12640
7,1,12631
6,1,12766
5,1,12730
4,1,12564
3,1,12546
2,1,12602
1,1,12725
0,1,11333
23,0,13137
22,0,13321
21,0,12859
20,0,12721
19,0,12513
18,0,12413
17,0,12331
16,0,12351
15,0,12493
14,0,12476
13,0,12330
12,0,12343
11,0,12746
10,0,12369
9,0,11842
8,0,12323
7,0,12522
6,0,12709
5,0,12673
4,0,12698
3,0,12586
2,0,12672
1,0,12530
0,0,10540
