FOV_row,FOV_col,count
23,23,13219
22,23,12894
21,23,13124
20,23,13243
19,23,13254
18,23,13006
17,23,12176
16,23,12270
15,23,12791
14,23,11975
13,23,12868
12,23,12972
11,23,12565
10,23,13005
9,23,13128
8,23,13543
7,23,13525
6,23,13721
5,23,13860
4,23,13551
3,23,13288
2,23,12860
1,23,12619
0,23,13240
23,22,13069
22,22,12965
21,22,13107
20,22,13285
19,22,13114
18,22,12951
17,22,12455
16,22,12417
15,22,12731
14,22,11962
13,22,12839
12,22,13413
11,22,12952
10,22,13036
9,22,13285
8,22,13436
7,22,13464
6,22,13748
5,22,13801
4,22,13605
3,22,13311
2,22,12906
1,22,12739
0,22,13472
23,21,13219
22,21,13487
21,21,13599
20,21,13587
19,21,13556
18,21,13030
17,21,12385
16,21,12429
15,21,12656
14,21,11966
13,21,12776
12,21,13251
11,21,12844
10,21,13228
9,21,13154
8,21,13741
7,21,13583
6,21,13921
5,21,13741
4,21,13134
3,21,13113
2,21,12775
1,21,12454
0,21,13133
23,20,13462
22,20,13775
21,20,13678
20,20,13660
19,20,13655
18,20,13012
17,20,12546
16,20,12442
15,20,12647
14,20,11755
13,20,12745
12,20,13133
11,20,12724
10,20,12999
9,20,13118
8,20,13591
7,20,13626
6,20,13752
5,20,13713
4,20,13350
3,20,13160
2,20,12771
1,20,12641
0,20,12920
23,19,12965
22,19,13305
21,19,13414
20,19,13440
19,19,13655
18,19,12986
17,19,12306
16,19,12344
15,19,12448
14,19,11614
13,19,12724
12,19,12950
11,19,12638
10,19,12948
9,19,13159
8,19,13607
7,19,13512
6,19,13652
5,19,13134
4,19,12818
3,19,12699
2,19,12508
1,19,12320
0,19,12740
23,18,12861
22,18,12969
21,18,13078
20,18,13288
19,18,13518
18,18,12911
17,18,12255
16,18,12269
15,18,12386
14,18,11489
13,18,12456
12,18,12838
11,18,12527
10,18,12968
9,18,13164
8,18,13590
7,18,13415
6,18,13632
5,18,13136
4,18,12613
3,18,12402
2,18,12384
1,18,12176
0,18,12401
23,17,12885
22,17,12870
21,17,12877
20,17,13222
19,17,13411
18,17,12731
17,17,12482
16,17,12234
15,17,12189
14,17,11268
13,17,12401
12,17,12752
11,17,12489
10,17,12931
9,17,13105
8,17,13488
7,17,13344
6,17,13530
5,17,12844
4,17,12314
3,17,12447
2,17,12310
1,17,12168
0,17,12330
23,16,12850
22,16,12630
21,16,12807
20,16,13042
19,16,13266
18,16,12768
17,16,12282
16,16,12008
15,16,12057
14,16,11177
13,16,11785
12,16,12527
11,16,12356
10,16,12881
9,16,12937
8,16,13367
7,16,13391
6,16,13514
5,16,12935
4,16,12237
3,16,12359
2,16,12163
1,16,12099
0,16,12199
23,15,12696
22,15,12310
21,15,12717
20,15,12743
19,15,13140
18,15,12803
17,15,12193
16,15,12015
15,15,11785
14,15,10866
13,15,11567
12,15,12422
11,15,12297
10,15,12803
9,15,12974
8,15,13368
7,15,13267
6,15,13412
5,15,12899
4,15,12228
3,15,12407
2,15,12248
1,15,12053
0,15,12252
23,14,12667
22,14,12159
21,14,12546
20,14,12587
19,14,13149
18,14,12654
17,14,12368
16,14,11963
15,14,11593
14,14,10687
13,14,11218
12,14,12224
11,14,11989
10,14,12368
9,14,12961
8,14,13321
7,14,13047
6,14,13062
5,14,13011
4,14,12224
3,14,12270
2,14,12306
1,14,12117
0,14,12245
23,13,12495
22,13,12062
21,13,12392
20,13,12345
19,13,13015
18,13,12760
17,13,12253
16,13,11853
15,13,11478
14,13,10547
13,13,11247
12,13,12166
11,13,11671
10,13,12137
9,13,12853
8,13,13245
7,13,13057
6,13,12805
5,13,12940
4,13,12210
3,13,12162
2,13,12260
1,13,11733
0,13,12284
23,12,12263
22,12,11856
21,12,12201
20,12,12306
19,12,12782
18,12,12673
17,12,12177
16,12,11795
15,12,11420
14,12,10497
13,12,11141
12,12,12059
11,12,11657
10,12,12396
9,12,12772
8,12,13127
7,12,12989
6,12,12791
5,12,12887
4,12,12175
3,12,12178
2,12,12220
1,12,11993
0,12,12248
23,11,12179
22,11,11787
21,11,12215
20,11,12185
19,11,12687
18,11,12744
17,11,12200
16,11,11949
15,11,11332
14,11,10544
13,11,11053
12,11,12016
11,11,11749
10,11,12484
9,11,12633
8,11,12910
7,11,12925
6,11,12676
5,11,12782
4,11,12184
3,11,12246
2,11,12213
1,11,12093
0,11,12245
23,10,12049
22,10,11683
21,10,12055
20,10,12012
19,10,12662
18,10,12712
17,10,12169
16,10,12018
15,10,11266
14,10,10538
13,10,11050
12,10,11868
11,10,11561
10,10,12437
9,10,12372
8,10,12925
7,10,12934
6,10,12522
5,10,12689
4,10,12306
3,10,12288
2,10,12274
1,10,12227
0,10,12163
23,9,11961
22,9,11812
21,9,12092
20,9,12112
19,9,12486
18,9,12696
17,9,12293
16,9,12105
15,9,11330
14,9,10696
13,9,11049
12,9,11484
11,9,11478
10,9,12606
9,9,12462
8,9,12783
7,9,12894
6,9,11498
5,9,12740
4,9,12242
3,9,12128
2,9,12276
1,9,12210
0,9,12113
23,8,11733
22,8,11770
21,8,12113
20,8,12180
19,8,12589
18,8,12751
17,8,12290
16,8,12298
15,8,11452
14,8,10594
13,8,10941
12,8,11433
11,8,11636
10,8,12620
9,8,12328
8,8,12658
7,8,12671
6,8,12423
5,8,12681
4,8,12287
3,8,12077
2,8,12228
1,8,12316
0,8,12173
23,7,11619
22,7,12022
21,7,12095
20,7,12138
19,7,12525
18,7,12846
17,7,12750
16,7,12388
15,7,11448
14,7,10691
13,7,11232
12,7,11796
11,7,11873
10,7,12709
9,7,12525
8,7,12862
7,7,12587
6,7,12417
5,7,12654
4,7,12254
3,7,12106
2,7,12226
1,7,12394
0,7,12263
23,6,11540
22,6,12238
21,6,12255
20,6,12304
19,6,12615
18,6,12905
17,6,12750
16,6,12507
15,6,11476
14,6,10890
13,6,11218
12,6,11937
11,6,12082
10,6,12652
9,6,12414
8,6,12846
7,6,12702
6,6,12382
5,6,12749
4,6,12397
3,6,12158
2,6,12275
1,6,12448
0,6,12246
23,5,11421
22,5,12136
21,5,12223
20,5,12163
19,5,12593
18,5,13031
17,5,13041
16,5,12702
15,5,11598
14,5,11013
13,5,11296
12,5,11881
11,5,12209
10,5,12656
9,5,12516
8,5,12771
7,5,12476
6,5,12311
5,5,12723
4,5,12304
3,5,12073
2,5,12129
1,5,12369
0,5,12242
23,4,11595
22,4,12326
21,4,12371
20,4,12301
19,4,12854
18,4,13158
17,4,13146
16,4,12973
15,4,11919
14,4,11212
13,4,11657
12,4,12122
11,4,12338
10,4,12777
9,4,12615
8,4,12899
7,4,12623
6,4,12583
5,4,12868
4,4,12465
3,4,12179
2,4,12332
1,4,12411
0,4,12278
23,3,11521
22,3,12373
