FOV_row,FOV_col,count
23,23,11116
22,23,10769
21,23,11056
20,23,11461
19,23,11773
18,23,12603
17,23,12759
16,23,12944
15,23,12701
14,23,11069
13,23,9851
12,23,9067
11,23,8897
10,23,9843
9,23,11857
8,23,11463
7,23,11200
6,23,11624
5,23,11828
4,23,11267
3,23,12134
2,23,12743
1,23,12131
0,23,11629
23,22,11091
22,22,10899
21,22,11109
20,22,11730
19,22,11682
18,22,12600
17,22,12894
16,22,13250
15,22,13119
14,22,10741
13,22,10181
12,22,9421
11,22,9750
10,22,10233
9,22,11988
8,22,11372
7,22,11222
6,22,11519
5,22,12013
4,22,11305
3,22,12087
2,22,12645
1,22,12205
0,22,11243
23,21,11264
22,21,11006
21,21,11211
20,21,11792
19,21,11803
18,21,12482
17,21,12963
16,21,13408
15,21,13108
14,21,10776
13,21,10902
12,21,9666
11,21,10180
10,21,10560
9,21,11926
8,21,11532
7,21,11304
6,21,11817
5,21,12165
4,21,11564
3,21,12171
2,21,12623
1,21,12284
0,21,11097
23,20,11405
22,20,11211
21,20,11518
20,20,11929
19,20,12092
18,20,13163
17,20,13113
16,20,13441
15,20,13323
14,20,11111
13,20,11111
12,20,9986
11,20,10561
10,20,11030
9,20,12281
8,20,12019
7,20,11717
6,20,12243
5,20,12533
4,20,11845
3,20,12688
2,20,13153
1,20,12505
0,20,12491
23,19,11424
22,19,11155
21,19,11502
20,19,11696
19,19,12010
18,19,12846
17,19,13070
16,19,13360
15,19,13304
14,19,11462
13,19,10923
12,19,10210
11,19,10641
10,19,11239
9,19,12406
8,19,11937
7,19,11650
6,19,12169
5,19,12482
4,19,11899
3,19,12533
2,19,12953
1,19,12318
0,19,12721
23,18,11458
22,18,11219
21,18,11572
20,18,11854
19,18,12243
18,18,12713
17,18,13059
16,18,13345
15,18,13175
14,18,11818
13,18,11394
12,18,10436
11,18,10815
10,18,11529
9,18,12316
8,18,12041
7,18,11658
6,18,12303
5,18,12666
4,18,11958
3,18,12417
2,18,12923
1,18,12428
0,18,12442
23,17,11569
22,17,11416
21,17,11643
20,17,11957
19,17,12269
18,17,12877
17,17,13148
16,17,13481
15,17,12990
14,17,11912
13,17,11538
12,17,10573
11,17,10836
10,17,11486
9,17,12247
8,17,12236
7,17,11885
6,17,12414
5,17,12735
4,17,12064
3,17,12029
2,17,13023
1,17,12476
0,17,12525
23,16,11570
22,16,11434
21,16,11745
20,16,12248
19,16,12383
18,16,13107
17,16,13279
16,16,13419
15,16,12696
14,16,11428
13,16,11884
12,16,10684
11,16,11053
10,16,11691
9,16,12602
8,16,12160
7,16,11971
6,16,12624
5,16,12679
4,16,12166
3,16,12276
2,16,13041
1,16,12594
0,16,12646
23,15,11619
22,15,11627
21,15,11917
20,15,12331
19,15,12548
18,15,13188
17,15,13381
16,15,13635
15,15,13087
14,15,12065
13,15,11982
12,15,10911
11,15,11465
10,15,11898
9,15,12693
8,15,12342
7,15,12182
6,15,12737
5,15,12863
4,15,12396
3,15,12639
2,15,13159
1,15,12730
0,15,12664
23,14,11661
22,14,11528
21,14,11746
20,14,12372
19,14,12272
18,14,13080
17,14,13166
16,14,13359
15,14,12955
14,14,12077
13,14,11970
12,14,10875
11,14,11678
10,14,11736
9,14,12723
8,14,12150
7,14,12177
6,14,12554
5,14,12805
4,14,12311
3,14,12370
2,14,12884
1,14,12558
0,14,12611
23,13,11595
22,13,11480
21,13,11779
20,13,12454
19,13,12269
18,13,12828
