FOV_row,FOV_col,count
23,23,9649
22,23,9440
21,23,8887
20,23,8392
19,23,8307
18,23,8029
17,23,7780
16,23,7393
15,23,6967
14,23,6846
13,23,6320
12,23,6560
11,23,6603
10,23,7179
9,23,7682
8,23,8182
7,23,8675
6,23,8959
5,23,9254
4,23,9696
3,23,9679
2,23,9874
1,23,10373
0,23,8320
23,22,9489
22,22,9459
21,22,8918
20,22,8578
19,22,8337
18,22,7878
17,22,7760
16,22,7448
15,22,7149
14,22,7177
13,22,6080
12,22,6615
11,22,6887
10,22,7136
9,22,7649
8,22,8078
7,22,8497
6,22,8818
5,22,9389
4,22,9664
3,22,10050
2,22,9989
1,22,10383
0,22,8604
23,21,9621
22,21,9485
21,21,8903
20,21,8793
19,21,8229
18,21,7974
17,21,8035
16,21,7924
15,21,7700
14,21,7048
13,21,6904
12,21,6962
11,21,7066
10,21,7571
9,21,7802
8,21,8224
7,21,8799
6,21,9159
5,21,9578
4,21,9950
3,21,10087
2,21,9286
1,21,10344
0,21,9593
23,20,9931
22,20,9544
21,20,9084
20,20,8797
19,20,8533
18,20,8101
17,20,8062
16,20,8157
15,20,7681
14,20,7260
13,20,7034
12,20,7129
11,20,7417
10,20,7859
9,20,7907
8,20,8334
7,20,8894
6,20,9253
5,20,9803
4,20,9988
3,20,10349
2,20,10251
1,20,10343
0,20,10264
23,19,9783
22,19,9327
21,19,9079
20,19,8859
19,19,8409
18,19,8146
17,19,8280
16,19,8232
15,19,7658
14,19,7200
13,19,6965
12,19,7297
11,19,7459
10,19,7656
9,19,8040
8,19,8532
7,19,8920
6,19,9182
5,19,9463
4,19,9910
3,19,10218
2,19,10065
1,19,10187
0,19,9499
23,18,9496
22,18,9399
21,18,9080
20,18,8740
19,18,8360
18,18,7964
17,18,8175
16,18,8056
15,18,7719
14,18,7846
13,18,7002
12,18,7314
11,18,7550
10,18,7808
9,18,7985
8,18,8411
7,18,8964
6,18,9231
5,18,9501
4,18,9973
3,18,10049
2,18,10301
1,18,10185
0,18,9684
23,17,9572
22,17,9482
21,17,9097
20,17,8773
19,17,8349
18,17,8186
17,17,8081
16,17,7819
15,17,7799
14,17,7818
13,17,7066
12,17,7510
11,17,7587
10,17,8071
9,17,8254
8,17,8592
7,17,8999
6,17,9372
5,17,9595
4,17,9893
3,17,10093
2,17,10136
1,17,10159
0,17,10103
23,16,9572
22,16,9522
21,16,9198
