FOV_row,FOV_col,count
23,23,7457
22,23,6883
21,23,6211
20,23,5538
19,23,5532
18,23,4552
17,23,4483
16,23,4265
15,23,3673
14,23,2984
13,23,2962
12,23,3650
11,23,3480
10,23,4548
9,23,5010
8,23,5829
7,23,5953
6,23,6627
5,23,7059
4,23,7676
3,23,8259
2,23,8292
1,23,8463
0,23,8323
23,22,7380
22,22,7078
21,22,6466
20,22,5708
19,22,5580
18,22,4789
17,22,4652
16,22,4556
15,22,3518
14,22,3268
13,22,3350
12,22,3742
11,22,3642
10,22,4654
9,22,5143
8,22,5885
7,22,5967
6,22,6653
5,22,7346
4,22,7849
3,22,8377
2,22,8387
1,22,8552
0,22,8554
23,21,7599
22,21,7421
21,21,6562
20,21,5938
19,21,6171
18,21,5075
17,21,5011
16,21,4998
15,21,4057
14,21,3800
13,21,3854
12,21,4197
11,21,4202
10,21,5067
9,21,5628
8,21,6222
7,21,6161
6,21,6866
5,21,7321
4,21,8016
3,21,8574
2,21,8559
1,21,8674
0,21,8665
23,20,7514
22,20,7411
21,20,6639
20,20,5972
19,20,6016
18,20,5227
17,20,5215
16,20,5183
15,20,4352
14,20,4293
13,20,4013
12,20,4312
11,20,4364
10,20,5124
9,20,5772
8,20,6285
7,20,6384
6,20,6982
5,20,7486
4,20,8027
3,20,8734
2,20,8565
1,20,8583
0,20,8749
23,19,7521
22,19,7152
21,19,6689
20,19,6030
19,19,6020
18,19,5157
17,19,5188
16,19,5227
15,19,4375
14,19,4416
13,19,3678
12,19,4303
11,19,4221
10,19,5078
9,19,5834
8,19,6185
7,19,6340
6,19,6816
5,19,7424
4,19,7913
3,19,8584
2,19,8621
1,19,8472
0,19,8555
23,18,7613
22,18,7199
21,18,6654
20,18,6032
19,18,5948
18,18,5079
17,18,5248
16,18,5370
15,18,4558
14,18,4249
13,18,3702
12,18,4217
11,18,4313
10,18,5118
9,18,5981
8,18,6240
7,18,6353
6,18,6866
5,18,7371
4,18,7865
3,18,8560
2,18,8566
1,18,8552
0,18,8389
23,17,7585
22,17,7382
21,17,6777
20,17,6199
19,17,5873
18,17,5147
17,17,5264
16,17,5400
15,17,4135
14,17,4278
13,17,3577
12,17,4599
11,17,4296
10,17,5351
9,17,6030
8,17,6452
7,17,6480
6,17,6874
5,17,7502
4,17,7996
3,17,8630
2,17,8574
1,17,8670
0,17,8562
23,16,7762
22,16,7387
21,16,6853
20,16,6286
19,16,5913
18,16,5331
17,16,5415
16,16,5518
15,16,4361
14,16,3938
13,16,3910
12,16,4731
11,16,4291
10,16,5422
9,16,6082
8,16,6447
7,16,6519
6,16,6890
5,16,7590
4,16,8024
3,16,8507
2,16,8443
1,16,8629
0,16,8461
23,15,7632
22,15,7568
21,15,6909
20,15,6249
19,15,5992
18,15,5491
17,15,5771
16,15,5694
15,15,4730
14,15,4077
13,15,4078
12,15,4897
11,15,4676
10,15,5676
9,15,6342
8,15,6658
7,15,6771
6,15,7004
5,15,7522
4,15,7976
3,15,8532
2,15,8553
1,15,8602
0,15,8480
23,14,7826
22,14,7718
21,14,7120
20,14,6551
19,14,6350
